locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
2277,CARABAYLLO,Lima,PE,2021-08-16T13:00:00+00:00,2021-08-16T12:00:00-01:00,pm10,15.58,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T12:00:00+00:00,2021-08-16T11:00:00-01:00,pm10,18.8,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T12:00:00+00:00,2021-08-16T11:00:00-01:00,pm25,14,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T11:00:00+00:00,2021-08-16T10:00:00-01:00,pm25,11.73,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T11:00:00+00:00,2021-08-16T10:00:00-01:00,pm10,10.93,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T10:00:00+00:00,2021-08-16T09:00:00-01:00,pm10,6.54,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T10:00:00+00:00,2021-08-16T09:00:00-01:00,pm25,11.95,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T09:00:00+00:00,2021-08-16T08:00:00-01:00,pm25,6.92,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T09:00:00+00:00,2021-08-16T08:00:00-01:00,pm10,9.77,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T08:00:00+00:00,2021-08-16T07:00:00-01:00,pm10,5.23,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T08:00:00+00:00,2021-08-16T07:00:00-01:00,pm25,8.25,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T07:00:00+00:00,2021-08-16T06:00:00-01:00,pm25,6.7,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T07:00:00+00:00,2021-08-16T06:00:00-01:00,pm10,5.31,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T06:00:00+00:00,2021-08-16T05:00:00-01:00,pm10,4.23,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T06:00:00+00:00,2021-08-16T05:00:00-01:00,pm25,15.19,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T05:00:00+00:00,2021-08-16T04:00:00-01:00,pm25,28.22,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T05:00:00+00:00,2021-08-16T04:00:00-01:00,pm10,17.93,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T04:00:00+00:00,2021-08-16T03:00:00-01:00,pm10,32.71,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T04:00:00+00:00,2021-08-16T03:00:00-01:00,pm25,27.69,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T03:00:00+00:00,2021-08-16T02:00:00-01:00,pm25,32.86,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T03:00:00+00:00,2021-08-16T02:00:00-01:00,pm10,39.89,µg/m³,-11.902194,-77.033639
